code,long_name
ABI,
ABO,
ACCR,ACCESS ROADS
ACO,
ALI,Indoor Allowance
ALO,Oudoor Allowance
AM,
AMN,
AMW,
AN,
ARD,
ATR,
B,
BB,Blister
BBI,Bush Binding
BCL,Bowser Cleaning
BEDP,Preparing Beds
BIA,
BIN,BUNGLOW INDOOR - Other
BL,BOUGHT LEAF
BLAN,BLANKERTING
BMAT,BUILDING MATS
BMF,
BOA,
BOI,Boiling
BOM,
BRL,BURIAL LABOUR
BUDG,Budgrafting
BUNO,BUNGLOW OUTDOOR - Other
BUP,Bangalow Upkeep
BUS,BUSH SANITATION
BUW,
BZM,Buffer Zone Marking - Rain Forest
CA,Crech Assistant
CAF,AFTER CARE-CAP
CALSA,ALBERT SOLUTION APPLICATION
CAM,
CAPCOM,COMPOSTING - CAPITAL
CAU,
CBAFG,BAG FILLING
CBI,
CBU,
CBUDW,Cutting Budwood
CC,COVER CROPS - CAP
CCFG,Cutting Fire Gaps
CCO,
CCOFIN,Coffee Nursary - Incharge Salary
CCT,
CCUPS,CUTTING PEGGS
CCW,Chemical Weeding_CAP
CDI,
CDIPF,DISTRIBUTING PLANTS INSIDE THE FIELD
CDOL,DOLOMITE APPLICATION-CAP
CDP,
CDR,Capital Draining
CENR,
CFC,FELING & CLEARING-CAP
CFE,
CFEN,FENCING-CAPITAL
CFG,
CFH,
CFI,
CFILL,FILLING - CAPITAL
CFLHO,FILLING HOLES
CFOS,Folir Spraying
CFR,Fertilizer Application - CAP
CFS,
CFTP,FOOT PATH - CAPITAL
CGEN,General Charges - Capital
CGPLA,Gilicidia Planting - Capital
CHA,Cinnamon Harvesting
CHO,
CHOL,Holling_CAP
CHSPR,SPRAYING CHEMICLES
CINFILL,Infilling - Capital
CIW,
CLC,LAND CLEARING-CAP
CLCT,CINNAMON LEAF COLLECTING AND TRANSPORT
CLE,CLEANER
CLGPG,LINING & PEGGING
CLM,
CLP,
CLPL,CINNAMON LEAF PROCESSING LABOUR
CLUPL,LOADING UNLOADING PLANTS
CMA,
CMK,MARKING-CAP
CML,
CMUL,Mulching/temporary shade - Capital
CMW,Manual Weeding_CAP
CO-OP,
COC,
COFDEPL,DEPULPING
COFFERM,FERMENTATION
COG,COCONUT GEATHORING
COH,COCONUT HUSKING
COHA,Coffee Harvesting
COL,
COLS,COLOUR SEPERATOR LABOUR
COM,Composting
COT,
COW,
CPD,
CPDR,PEST & DISEASES-CAP
CPHT,PH Testing - Capital
CPK,COCONUT PICKING
CPL,
CPLAPRO,Plant protection with covers - Capital
CPLATFC,Platform cutting - Capital
CPLCG,PLANTS COVERING
CPLKLA,Cutting Plucking lanes
CPLPS,PLANTING POLES
CPLT,Planting - CAP
CPR,
CPT,
CR,
CRB,
CRD,Roads and Bridges - CAP
CREB,RE-BLOCKING-CAP
CRP,
CRS,
CRSB,REMOVING SIDE BRANCHES
CRT,
CS,CENSUS
CSC,CENSUS-CAP
CSD,
CSHA,SHADE PLANTING
CSHADM,Shade Material - Capital
CSIESAND,SIEVING SAND - CAPITAL
CSLOM,SLASHING OF MANA
CSLOP,SLASHING LOW PRUNING OF BUSHES
CSLOW,SLASHING OF WEEDS
CSM,Soil Mixing
CSO,
CSOILD,Soil conservation and draining - Capital
CSUR,RESUPPLYING-CAP
CSURV,SURVEY - CAPITAL
CT,Caretaker
CTERC,TERRECING - CAPITAL
CTH,
CTHATCH,Thatching - Capital
CTP,Transport of Plants- CAP
CTR,
CUPRC,UPROOTING OF ROOTS & CLEANING
CURR,CURRING
CUTB,Cut back
CUTCR,Cutting Grave
CUTSO,Cutting Soil
CUTY,"CUTTING ""Y"" BRANCHES"
CW,Chemicle Weeding
CWATE,Watering Labour - Capital
CWATMAT,Watering Material - Capital
CWB,
CWD,
CWER,
CWKSP,WORK SHOP
CWO,Chemical Weeding - Other
CWP,
CWT,Watcher/ Security - Capital
DBI,
DBO,
DD,
DDR,
DIG,
DIV,
DMW,
DOL,DOLOMITE APPLICATION
DR,Drains
DRI,DRIVER
DRT,Denaturing of Refuse Tea
DRY,DRYING
DSP,
EC,
EFL,Effluent Treatment
EPL,Effluent plant Labour
ESC,ESCORTING CHILDREN
ETR,ETHARAL APPLICATION
FBAG,Filling Bags - Other
FC,
FCL,
FDR,Drier
FEN,FENCING
FENO,Fencing - Other
FFR,FUEL FOR DRIER
FIR,Field Firewood cutting
FIREDEB,FIRE WOOD CUTTING - DEBTOR AC
FITR,FIELD TRAINEE
FIW,
FIXN,Fixing Net
FL,
FLC,Factory leaf collecting
FLD,
FLK,
FLP,
FLR,
FLS,
FLT,
FLW,
FMU,
FOK,Foking
FOS,Folir Spraying
FR,Fertilizer Application
FRO,Fertilizer - Other
FS,Food stuff
FSF,Food stuff Free Feeding
FSH,
FSL,Factory Skim Cutter Labour
FSP,
FSU,
FTP,FOOT PATH
FTR,Transport Labour Factory
FU,
FUP,Factory Upkeep
FW,
FWC,FIREWOOD CUTTING FOR STOCK
FWCI,FIREWOOD CUTTING FOR INCOME
FWD,Firing (Firewood Cutting)
FWL,FIREWOOD LABOR AND MATERIAL
FWR,
FWS,FIREWOOD STACKING
FWSPL,FIREWOOD SPLITTING
FWT,Factory Watcher
GERMB,Germination of Beds
GLEV,Levelling the Ground
GLTRD,GREEN LEAF TRANSPORT - DEBTOR
GMN,
GRCUT,GRASS CUTTING
GRS,Green leaf Spreading
GS,
GUM,
HANG,HANGING
HCR,Hill Climb Race
HEL,Helper
HLSPR,Hydrated lime spraying
HO,HOLLING
HRENT,House Rent
HS,
INFILL,Infilling
KUP,
LC,LAND CLEARING
LIN,Linning - Capital
LL,LENT LABOUR
LOC,Loading Tea
LOG,Log Cabin
LOL,
LOM,
LOP,Lopping Shade
LOPN,LOADING UNLOADING NURSERY PLANTS
LS,Line Sweeper
LTC,
LTE,
LTP,Labour tea packing
LTR,LATEX TRANSPORT
LTX,
LU,Lines Upkeep
LUNGPR,Lungs Pruning
LUP,
MA,
MAF,Manufacture Labour
MANLO,Mana lopping
MANLU,Manure Loading / Unloading
MANP,Mana Planting
MB,
MBL,Minor Building
MBO,
MCD,Mixing Cowdung - Capital
MD,Medicle
MF,Mossing and Ferning
MHP,MINI HYDRO LABOUR
MILL,Milling
MK,MARKING
ML,
MM,Manure Mixing
MO,
MPR,Pruning - Machine
MU,
MUCN,
MUN,
MUP,Machinary UPKEEP
MW,Manual Weeding
MWO,Manual Weeding - Other
MWU,
NCU,
NEC,
NF,
NFB,
NH,
NM,
NPB,
NPC,
NR,
NSK,
NTA,Native Tree After Care
NTC,Native Tree Census
NTF,Native Tree Fertilising
NTP,Native Tree Planting
NTR,Native Tree re-supply
NTW,Native Tree Weeding
NULB,NURSERY LOADING BAGS
NW,
NWA,Watering - Other
NWC,
NWT,
OFP,
OFTR,OFFICE TRAINEE
OFW,
OHOL,Holling - Other
OLANC,Land Clearing - Other
OLIN,Linning - Other
OPL,OUTSIDE PLUCKING
OTH,
OTPRL,OTHER PROJECTS LABOUR
